Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 12 2014,9:00 pm,Portland Trail Blazers,130,Denver Nuggets,113,Box Score,,12611,
Wed Nov 12 2014,7:30 pm,Indiana Pacers,81,Miami Heat,75,Box Score,,19658,
Wed Nov 12 2014,10:00 pm,Houston Rockets,113,Minnesota Timberwolves,101,Box Score,,18996,at Mexico City Mexico
Wed Nov 12 2014,8:00 pm,Los Angeles Lakers,102,New Orleans Pelicans,109,Box Score,,17359,
Wed Nov 12 2014,7:30 pm,Orlando Magic,97,New York Knicks,95,Box Score,,19812,
Wed Nov 12 2014,9:00 pm,Brooklyn Nets,104,Phoenix Suns,112,Box Score,,15184,
Wed Nov 12 2014,7:00 pm,Detroit Pistons,103,Washington Wizards,107,Box Score,,14708,
Thu Nov 13 2014,8:30 pm,Philadelphia 76ers,70,Dallas Mavericks,123,Box Score,,19604,
Thu Nov 13 2014,10:30 pm,Brooklyn Nets,99,Golden State Warriors,107,Box Score,,19596,
Thu Nov 13 2014,8:00 pm,Sacramento Kings,110,Memphis Grizzlies,111,Box Score,,15666,
Thu Nov 13 2014,8:00 pm,Chicago Bulls,100,Toronto Raptors,93,Box Score,,19800,
Fri Nov 14 2014,7:30 pm,Miami Heat,103,Atlanta Hawks,114,Box Score,,17090,
Fri Nov 14 2014,7:30 pm,Cleveland Cavaliers,122,Boston Celtics,121,Box Score,,18624,
Fri Nov 14 2014,8:00 pm,Philadelphia 76ers,87,Houston Rockets,88,Box Score,,18138,
Fri Nov 14 2014,7:00 pm,Denver Nuggets,108,Indiana Pacers,87,Box Score,,16286,
Fri Nov 14 2014,10:00 pm,San Antonio Spurs,93,Los Angeles Lakers,80,Box Score,,18997,
Fri Nov 14 2014,8:00 pm,Minnesota Timberwolves,91,New Orleans Pelicans,139,Box Score,,14775,
Fri Nov 14 2014,7:30 pm,Utah Jazz,102,New York Knicks,100,Box Score,,19812,
Fri Nov 14 2014,8:00 pm,Detroit Pistons,96,Oklahoma City Thunder,89,Box Score,OT,18203,
Fri Nov 14 2014,7:00 pm,Milwaukee Bucks,85,Orlando Magic,101,Box Score,,15947,
Fri Nov 14 2014,9:00 pm,Charlotte Hornets,103,Phoenix Suns,95,Box Score,,16291,
Sat Nov 15 2014,8:00 pm,Indiana Pacers,99,Chicago Bulls,90,Box Score,,22248,
Sat Nov 15 2014,7:30 pm,Atlanta Hawks,94,Cleveland Cavaliers,127,Box Score,,20562,
Sat Nov 15 2014,8:30 pm,Minnesota Timberwolves,117,Dallas Mavericks,131,Box Score,,19730,
Sat Nov 15 2014,10:30 pm,Charlotte Hornets,87,Golden State Warriors,112,Box Score,,19596,
Sat Nov 15 2014,10:30 pm,Phoenix Suns,107,Los Angeles Clippers,120,Box Score,,19060,
Sat Nov 15 2014,8:00 pm,Detroit Pistons,88,Memphis Grizzlies,95,Box Score,,17215,
Sat Nov 15 2014,10:00 pm,Brooklyn Nets,87,Portland Trail Blazers,97,Box Score,,19441,
Sat Nov 15 2014,10:00 pm,San Antonio Spurs,91,Sacramento Kings,94,Box Score,,17317,
Sat Nov 15 2014,7:30 pm,Utah Jazz,93,Toronto Raptors,111,Box Score,,19800,
Sat Nov 15 2014,7:00 pm,Orlando Magic,93,Washington Wizards,98,Box Score,,19110,
Sun Nov 16 2014,9:30 pm,Golden State Warriors,136,Los Angeles Lakers,115,Box Score,,18997,
Sun Nov 16 2014,6:00 pm,Milwaukee Bucks,91,Miami Heat,84,Box Score,,19680,
Sun Nov 16 2014,1:00 pm,Denver Nuggets,93,New York Knicks,109,Box Score,,19812,
Sun Nov 16 2014,7:00 pm,Houston Rockets,69,Oklahoma City Thunder,65,Box Score,,18203,
Mon Nov 17 2014,7:30 pm,Phoenix Suns,118,Boston Celtics,114,Box Score,,16726,
Mon Nov 17 2014,7:30 pm,Miami Heat,95,Brooklyn Nets,83,Box Score,,17732,
Mon Nov 17 2014,7:00 pm,Dallas Mavericks,107,Charlotte Hornets,80,Box Score,,15345,
Mon Nov 17 2014,7:00 pm,Denver Nuggets,106,Cleveland Cavaliers,97,Box Score,,20562,
Mon Nov 17 2014,7:30 pm,Orlando Magic,107,Detroit Pistons,93,Box Score,,11619,
Mon Nov 17 2014,10:30 pm,Chicago Bulls,105,Los Angeles Clippers,89,Box Score,,19319,
Mon Nov 17 2014,8:00 pm,Houston Rockets,93,Memphis Grizzlies,119,Box Score,,17012,
Mon Nov 17 2014,10:00 pm,New Orleans Pelicans,93,Portland Trail Blazers,102,Box Score,,19441,
Mon Nov 17 2014,8:30 pm,Philadelphia 76ers,75,San Antonio Spurs,100,Box Score,,18581,
Tue Nov 18 2014,7:30 pm,Los Angeles Lakers,114,Atlanta Hawks,109,Box Score,,17848,
Tue Nov 18 2014,8:00 pm,New York Knicks,113,Milwaukee Bucks,117,Box Score,,12190,
Tue Nov 18 2014,10:00 pm,New Orleans Pelicans,106,Sacramento Kings,100,Box Score,,16526,
Tue Nov 18 2014,9:00 pm,Oklahoma City Thunder,81,Utah Jazz,98,Box Score,,17190,
Wed Nov 19 2014,7:30 pm,Milwaukee Bucks,122,Brooklyn Nets,118,Box Score,3OT,15694,
Wed Nov 19 2014,7:00 pm,San Antonio Spurs,92,Cleveland Cavaliers,90,Box Score,,20562,
Wed Nov 19 2014,9:00 pm,Oklahoma City Thunder,100,Denver Nuggets,107,Box Score,,14140,
Wed Nov 19 2014,7:30 pm,Phoenix Suns,88,Detroit Pistons,86,Box Score,,10686,
Wed Nov 19 2014,9:30 pm,Los Angeles Lakers,98,Houston Rockets,92,Box Score,,18245,
Wed Nov 19 2014,7:00 pm,Charlotte Hornets,86,Indiana Pacers,88,Box Score,,14748,
Wed Nov 19 2014,8:00 pm,New York Knicks,99,Minnesota Timberwolves,115,Box Score,,15304,
Wed Nov 19 2014,7:00 pm,Los Angeles Clippers,114,Orlando Magic,90,Box Score,,16034,
Wed Nov 19 2014,7:00 pm,Boston Celtics,101,Philadelphia 76ers,90,Box Score,,12701,
Wed Nov 19 2014,7:30 pm,Memphis Grizzlies,92,Toronto Raptors,96,Box Score,,19800,
